index,x,y,z,confidence
0,0.321680,0.471505,-0.059043,1.00
1,0.321680,0.471505,-0.059043,1.00
2,0.321680,0.454753,0.136920,1.00
3,0.321680,0.496778,-0.103265,1.00
4,0.321680,0.538802,-0.343450,1.00
5,0.321680,0.558075,-0.315772,1.00
6,0.321680,0.577348,-0.288095,1.00
7,0.321680,0.686962,-0.172826,1.00
8,0.338719,0.857261,-0.057557,1.00
9,0.355758,0.899291,-0.257284,1.00
10,0.211647,0.874213,-0.046284,1.00
11,0.067535,0.941009,0.199562,1.00
12,-0.076576,0.933848,0.105974,1.00
13,-0.220688,1.025102,0.299294,1.00
14,-0.220727,1.035268,0.444578,1.00
15,-0.188905,1.131541,0.044195,1.00
16,-0.157083,1.224853,0.290797,1.00
17,-0.125262,1.245973,0.307625,1.00
18,-0.093440,1.283565,0.189205,1.00
19,-0.114832,1.294627,0.291647,1.00
20,-0.188995,1.232714,0.290148,1.00
21,-0.181004,1.205084,0.312258,1.00
22,-0.252232,1.200842,0.463693,1.00
23,-0.134732,1.140325,0.319786,1.00
24,-0.017233,1.079808,0.175878,1.00
25,0.104114,1.069033,0.177484,1.00
26,0.295374,1.027824,-0.046519,1.00
27,0.486634,0.986615,-0.270523,1.00
28,0.348367,0.962392,-0.295625,1.00
29,0.555885,0.867895,-0.244117,1.00
30,0.285395,0.818546,-0.192609,1.00
31,0.066646,0.888879,-0.141101,1.00
32,-0.152102,0.959211,-0.089593,1.00
33,-0.100400,0.976930,-0.038085,1.00
34,-0.048697,0.994649,0.013423,1.00
35,-0.073084,0.617499,0.064931,1.00
36,-0.162620,0.564814,0.116439,1.00
37,-0.252156,0.512130,0.167947,1.00
38,-0.130798,0.437746,0.219455,1.00
39,-0.283153,0.361834,0.270964,1.00
40,-0.560894,0.232896,0.397967,1.00
41,-0.508691,0.341135,0.524970,1.00
42,-0.465238,0.321230,0.651973,1.00
43,-0.207821,0.398968,0.596225,1.00
44,-0.410974,0.379501,0.630478,1.00
45,-0.614126,0.360034,0.664730,1.00
46,-0.535321,0.379180,0.698983,1.00
47,-0.610878,0.356920,0.733235,1.00
48,-0.686435,0.350104,0.905773,1.00
49,-0.621354,0.367163,0.921909,1.00
50,-0.656661,0.272419,0.771912,1.00
51,-0.517995,0.195759,0.621914,1.00
52,-0.379328,0.221241,0.496135,1.00
53,-0.240662,0.191175,0.487992,1.00
54,-0.101995,0.188866,0.305517,1.00
55,-0.045565,0.207929,0.302477,1.00
56,0.037210,0.185958,0.157266,1.00
57,0.119985,0.243389,-0.083717,1.00
58,-0.001528,0.137294,-0.110870,1.00
59,-0.123042,0.105208,-0.093668,1.00
60,0.062000,0.260744,0.062147,1.00
61,0.247042,0.259543,-0.310745,1.00
62,0.278237,0.242745,-0.446134,1.00
63,0.309432,0.225946,-0.581523,1.00
64,0.340627,0.224750,-0.361778,1.00
65,0.371822,0.243225,-0.873893,1.00
66,0.403017,0.315029,-0.513899,1.00
67,0.434212,0.199931,-0.595500,1.00
68,0.465407,0.234354,-0.439956,1.00
69,0.496603,0.242054,-0.568696,1.00
70,0.527798,0.224447,-0.655883,1.00
71,0.684999,0.414113,-0.681320,1.00
72,0.826541,0.322919,-0.667738,1.00
73,0.538700,0.389348,-0.582650,1.00
74,0.592015,0.316377,-0.584901,1.00
75,0.618086,0.246793,-0.611018,1.00
76,0.649886,0.234873,-0.586558,1.00
77,0.645960,0.249000,-0.419840,1.00
78,0.732318,0.170870,-0.886888,1.00
79,0.720757,0.170378,-0.886578,1.00
80,0.723191,0.280487,-0.789466,1.00
81,0.700682,0.407184,-0.692353,1.00
82,0.485752,0.104432,-0.447105,1.00
83,0.410141,0.211265,-0.054815,1.00
84,0.357999,0.237456,-0.054973,1.00
85,0.059176,0.298691,0.268537,1.00
86,0.041499,0.146496,0.208811,1.00
87,-0.052914,0.000000,0.149085,1.00
88,-0.269569,0.069807,0.253675,1.00
89,-0.276086,0.067237,0.253570,1.00
90,-0.491573,0.131310,0.440136,1.00
91,-0.627598,0.172362,0.626702,1.00
92,-0.681872,0.212875,0.813268,1.00
93,-0.750922,0.247529,0.999833,1.00
94,-0.549180,0.282052,0.649324,1.00
95,-0.595215,0.243612,0.635632,1.00
96,-0.650988,0.193755,0.617471,1.00
97,-0.657942,0.225664,0.911645,1.00
98,-0.927345,0.125827,0.642746,1.00
99,-0.680373,0.244881,0.662153,1.00
100,-0.670191,0.281269,0.681560,1.00
101,-0.559745,0.302094,0.689453,1.00
102,-0.449300,0.279808,0.613195,1.00
103,-0.338855,0.257522,0.536937,1.00
104,-0.228409,0.427454,0.387190,1.00
105,-0.241101,0.330899,0.400939,1.00
106,-0.253794,0.390176,0.263182,1.00
107,-0.266486,0.316669,0.250665,1.00
108,-0.279178,0.243161,0.238147,1.00
109,-0.291870,0.227385,0.314438,1.00
110,-0.304562,0.212708,0.447450,1.00
111,-0.317254,0.198031,0.580461,1.00
112,-0.329946,0.184561,0.579985,1.00
113,-0.342639,0.175805,0.736649,1.00
114,-0.355331,0.175306,0.765414,1.00
115,-0.368023,0.173845,0.518911,1.00
116,-0.427779,0.239592,0.519093,1.00
117,-0.487536,0.364132,0.609641,1.00
118,-0.602903,0.378654,0.700189,1.00
119,-0.598696,0.453580,0.790737,1.00
120,-0.472807,0.201231,0.623750,1.00
121,-0.388860,0.145300,0.179661,1.00
122,-0.213620,0.192605,0.458405,1.00
123,-0.157371,0.209763,0.365095,1.00
124,-0.061240,0.355498,0.284853,1.00
125,-0.015286,0.327943,0.215779,1.00
126,0.002486,0.201080,0.149894,1.00
127,0.327237,0.366806,0.030414,1.00
128,0.602427,0.454823,-0.156273,1.00
129,0.339262,0.378244,-0.342959,1.00
130,0.363788,0.394247,-0.529646,1.00
131,0.454664,0.437808,-0.222575,1.00
132,0.423754,0.301992,0.042366,1.00
133,0.416850,0.454831,-0.213332,1.00
134,0.301518,0.511682,-0.242549,1.00
135,0.364411,0.470531,-0.271767,1.00
136,0.427304,0.429380,-0.300984,1.00
137,0.395682,0.409198,-0.330201,1.00
138,0.684913,0.245129,-1.004089,1.00
139,0.641190,0.285381,-0.978005,1.00
140,0.543466,0.330679,-0.620217,1.00
141,0.704438,0.403838,-0.592089,1.00
142,0.922716,0.375136,-0.686271,1.00
143,0.664928,0.374893,-0.780454,1.00
144,0.383025,0.355496,-0.874636,1.00
145,0.663654,0.409117,-0.968818,1.00
146,0.565196,0.538064,-0.646000,1.00
147,0.429990,0.545179,-0.323183,1.00
148,0.170882,0.582707,-0.000365,1.00
149,0.072328,0.633116,0.145002,1.00
150,-0.088660,0.692992,0.290370,1.00
151,-0.249647,0.752867,0.435737,1.00
152,-0.208740,0.748839,0.383100,1.00
153,-0.167833,0.744812,0.330463,1.00
154,-0.126926,0.740784,0.277826,1.00
155,-0.086018,0.736756,0.225189,1.00
156,-0.277963,0.747168,0.407895,1.00
157,-0.182463,0.706275,0.399525,1.00
158,-0.096597,0.706678,0.048727,1.00
159,-0.247066,0.654837,0.209505,1.00
160,-0.192572,0.474690,0.370282,1.00
161,-0.111688,0.432032,0.430476,1.00
162,-0.292987,0.269480,0.490670,1.00
163,-0.422897,0.247805,0.550864,1.00
164,-0.552807,0.237456,0.647086,1.00
165,-0.682718,0.243734,0.558336,1.00
166,-0.812628,0.250012,0.469586,1.00
167,-0.942538,0.244748,0.503112,1.00
168,-0.649393,0.271490,0.377659,1.00
169,-0.356249,0.298231,0.252206,1.00
170,-0.063105,0.271947,0.255822,1.00
171,0.230040,0.255000,-0.092694,1.00
172,0.235779,0.360229,-0.164245,1.00
173,0.241519,0.465457,-0.235796,1.00
174,0.247258,0.402767,-0.301673,1.00
175,0.356020,0.411642,-0.531304,1.00
176,0.464782,0.408571,-0.557329,1.00
177,0.573544,0.405500,-0.583354,1.00
178,0.682306,0.382385,-0.835809,1.00
179,0.643772,0.391103,-0.683481,1.00
180,0.782075,0.401114,-0.655913,1.00
181,0.709838,0.436145,-0.506342,1.00
182,0.830560,0.453085,-0.591280,1.00
183,0.868479,0.479364,-0.385057,1.00
184,0.546615,0.652007,-0.359486,1.00
185,0.738009,0.581626,-0.487960,1.00
186,0.382674,0.592805,-0.391464,1.00
187,0.637289,0.464920,-0.294968,1.00
188,0.665902,0.426538,-0.198472,1.00
189,0.467866,0.374881,-0.101976,1.00
190,0.465943,0.290681,-0.057761,1.00
191,0.585990,0.329020,-0.351464,1.00
192,0.073950,0.372188,-0.083210,1.00
193,0.074131,0.346275,0.185045,1.00
194,-0.310774,0.427894,0.472244,1.00
195,-0.214324,0.429199,0.370654,1.00
196,-0.279513,0.465203,0.449918,1.00
197,-0.288533,0.575906,0.601678,1.00
198,-0.446688,0.476657,0.749640,1.00
199,-0.438786,0.471290,0.524418,1.00
200,-0.430884,0.428006,0.517809,1.00
201,-0.422983,0.384721,0.511201,1.00
202,-0.415081,0.394650,0.549453,1.00
203,-0.317746,0.374013,0.483175,1.00
204,-0.220412,0.353376,0.416896,1.00
205,-0.154476,0.316325,0.291971,1.00
206,-0.047975,0.310153,0.167046,1.00
207,0.039423,0.409553,-0.358166,1.00
208,0.126822,0.395295,0.012000,1.00
209,0.214220,0.381178,-0.084378,1.00
210,0.238520,0.444385,-0.028512,1.00
211,0.262820,0.507591,0.027354,1.00
212,0.287119,0.422407,0.018612,1.00
213,0.311419,0.346280,-0.469028,1.00
214,0.335719,0.340709,-0.391551,1.00
215,0.360019,0.335138,-0.314074,1.00
216,0.384318,0.399125,-0.143013,1.00
217,0.408618,0.349448,-0.364634,1.00
218,0.503715,0.398387,-0.586884,1.00
219,0.598813,0.426893,-0.593370,1.00
220,0.693605,0.325683,-0.709025,1.00
221,0.788396,0.509586,-0.756895,1.00
222,0.582513,0.437923,-0.500138,1.00
223,0.853433,0.536636,-0.605835,1.00
224,0.823677,0.635350,-0.453377,1.00
225,0.483979,0.627225,-0.032009,1.00
226,0.578793,0.532726,-0.048993,1.00
227,0.650445,0.546695,-0.065976,1.00
228,0.462323,0.523977,-0.082960,1.00
229,0.258950,0.482848,0.013721,1.00
230,0.096277,0.501430,0.192834,1.00
231,0.065506,0.506428,0.209560,1.00
232,-0.098132,0.547275,0.226286,1.00
233,-0.212228,0.518390,0.243011,1.00
234,-0.304403,0.550668,0.259737,1.00
235,-0.131970,0.617997,0.276463,1.00
236,-0.419286,0.486322,0.308792,1.00
237,-0.169134,0.483806,0.341122,1.00
238,-0.133665,0.437542,0.311200,1.00
239,-0.002690,0.337056,0.422336,1.00
240,-0.057463,0.330363,0.438494,1.00
241,-0.112237,0.323669,0.454653,1.00
242,-0.057725,0.373843,0.455149,1.00
243,-0.057923,0.373811,0.455015,1.00
244,-0.053239,0.382522,0.433022,1.00
245,-0.048556,0.391234,0.411029,1.00
246,0.025407,0.440118,-0.030235,1.00
247,0.099369,0.516032,0.071782,1.00
248,0.173331,0.591945,0.173799,1.00
249,0.247293,0.590710,-0.057486,1.00
250,0.321255,0.589475,-0.288772,1.00
251,0.395217,0.547016,-0.495307,1.00
252,0.469179,0.577775,-0.747652,1.00
253,0.543141,0.557730,-0.694050,1.00
254,0.617104,0.672243,-0.444081,1.00
255,0.549599,0.467994,-0.485260,1.00
256,0.458812,0.452469,-0.377470,1.00
257,0.307222,0.457184,-0.152911,1.00
258,0.271668,0.428638,-0.124759,1.00
259,0.526559,0.458325,-0.031524,1.00
260,0.445305,0.475251,0.061710,1.00
261,0.364050,0.494925,-0.061520,1.00
262,0.282796,0.520188,-0.001944,1.00
263,0.160529,0.558571,0.057633,1.00
264,0.151646,0.509401,0.255367,1.00
265,-0.033134,0.515667,0.280697,1.00
266,-0.217914,0.521933,0.306026,1.00
267,-0.193142,0.536721,0.331355,1.00
268,-0.297079,0.568347,0.426926,1.00
269,-0.397848,0.584335,0.522497,1.00
270,-0.571676,0.617757,0.710693,1.00
271,-0.449325,0.684080,0.701217,1.00
272,-0.524202,0.477356,0.726687,1.00
273,-0.546213,0.586757,0.771612,1.00
274,-0.558016,0.601448,0.789965,1.00
275,-0.383899,0.611938,0.555783,1.00
276,-0.433565,0.551559,0.650476,1.00
277,-0.278200,0.536274,0.674759,1.00
278,-0.122836,0.499157,0.453496,1.00
279,-0.185703,0.692824,0.428291,1.00
280,-0.100486,0.635068,0.097994,1.00
281,-0.015269,0.749037,0.191544,1.00
282,0.069948,0.707552,0.121641,1.00
283,0.155165,0.683625,0.006135,1.00
284,0.240382,0.710753,-0.128206,1.00
285,0.325599,0.737882,-0.262546,1.00
286,0.410816,0.644825,-0.721876,1.00
287,0.496033,0.636858,-0.507834,1.00
288,0.626912,0.622440,-0.617424,1.00
289,0.655897,0.666819,-0.620734,1.00
290,0.468088,0.730561,-0.395144,1.00
291,0.636230,0.698655,-0.518483,1.00
292,0.634971,0.659459,-0.442555,1.00
293,0.515560,0.733972,-0.367589,1.00
294,0.577385,0.740781,-0.390954,1.00
295,0.635347,0.783554,-0.491848,1.00
296,0.456371,0.829538,-0.324682,1.00
297,0.502727,0.792767,-0.650832,1.00
298,0.375452,0.672378,-0.522528,1.00
299,0.316842,0.625063,-0.588668,1.00
300,0.353159,0.616097,-0.073271,1.00
301,0.048072,0.729791,0.238984,1.00
302,0.125351,0.615142,0.025925,1.00
303,0.138476,0.654104,0.004547,1.00
304,-0.087056,0.561385,0.161231,1.00
305,-0.131383,0.570972,0.190428,1.00
306,-0.113215,0.662244,0.272640,1.00
307,-0.237027,0.652291,0.354853,1.00
308,-0.232949,0.753436,0.437066,1.00
309,-0.360240,0.767781,0.367083,1.00
310,-0.487531,0.773025,0.630023,1.00
311,-0.261888,0.709594,0.300862,1.00
312,-0.036246,0.574886,0.204876,1.00
313,0.136954,0.531042,0.036096,1.00
314,0.162125,0.552943,0.195405,1.00
315,0.207124,0.632493,0.042853,1.00
316,0.252122,0.712044,-0.109700,1.00
317,0.382626,0.724932,-0.284927,1.00
318,0.494215,0.833655,-0.405566,1.00
319,0.605804,0.912335,-0.388363,1.00
320,0.557009,0.883625,-0.338068,1.00
321,0.508214,0.854915,-0.287772,1.00
322,0.132741,0.867733,0.092878,1.00
323,0.497362,0.830035,-0.003378,1.00
324,0.338077,0.828099,-0.099633,1.00
325,0.290725,0.817995,-0.018997,1.00
326,0.184730,0.848813,0.061640,1.00
327,0.078736,0.879631,0.142276,1.00
328,-0.042201,0.901773,0.222912,1.00
329,-0.200308,0.840744,0.307821,1.00
330,-0.230970,0.784522,0.392729,1.00
331,-0.261631,0.728299,0.477638,1.00
332,-0.547820,0.754240,0.562546,1.00
333,-0.624913,0.673682,0.647479,1.00
334,-0.456173,0.752527,0.629265,1.00
335,-0.287433,0.913753,0.339777,1.00
336,-0.391503,0.736864,0.436849,1.00
337,-0.205167,0.780591,0.548954,1.00
338,-0.253275,0.870844,0.556741,1.00
339,-0.182247,0.821126,0.584130,1.00
340,-0.111218,0.811641,0.432221,1.00
341,-0.040190,0.829441,0.066555,1.00
342,-0.031201,0.725743,0.114464,1.00
343,0.024710,0.695717,-0.095735,1.00
344,0.080622,0.795075,-0.191044,1.00
345,0.136534,0.819129,-0.348125,1.00
346,0.192446,0.812436,-0.271269,1.00
347,0.248358,0.820019,-0.196710,1.00
348,0.304269,0.827603,-0.122151,1.00
349,0.360181,0.835186,-0.047592,1.00
350,0.309534,0.824497,0.026967,1.00
351,0.191634,0.898925,0.101526,1.00
352,0.077409,0.875285,0.176085,1.00
353,0.049740,0.920591,0.250643,1.00
354,0.283516,1.003255,0.308657,1.00
355,-0.252978,0.972025,0.366671,1.00
356,-0.347492,0.964112,0.424684,1.00
357,-0.442006,0.928456,0.497692,1.00
358,-0.325438,0.870245,0.429032,1.00
359,-0.309537,0.920421,0.452383,1.00
360,-0.237004,0.904250,0.449919,1.00
361,-0.164472,0.888079,0.447454,1.00
362,-0.117116,0.868311,0.444989,1.00
363,-0.069760,0.807282,0.371635,1.00
364,-0.022404,0.870644,0.220377,1.00
365,-0.023205,0.848487,0.059528,1.00
366,-0.024006,0.761434,0.094847,1.00
367,0.104456,0.804514,-0.027610,1.00
368,0.232917,0.883957,-0.238509,1.00
369,0.361379,0.993374,-0.268223,1.00
370,0.177248,0.937636,-0.093394,1.00
371,0.211327,0.820646,-0.105455,1.00
372,0.158387,0.858272,-0.011306,1.00
373,0.105447,0.895897,0.082842,1.00
374,0.037090,0.911237,0.154149,1.00
375,-0.044828,0.877188,0.225455,1.00
376,-0.218706,0.977193,0.333532,1.00
377,-0.299565,0.922505,0.431175,1.00
378,-0.380423,0.874078,0.401467,1.00
379,-0.250770,0.872500,0.326938,1.00
380,-0.121118,0.833793,0.070233,1.00
381,0.008535,0.852803,-0.009667,1.00
382,0.138188,0.871812,-0.089567,1.00
383,0.162383,0.910587,-0.141545,1.00
384,0.186578,0.954463,-0.190832,1.00
385,0.455533,1.022575,-0.397376,1.00
386,0.522728,1.003406,-0.321007,1.00
387,0.364345,1.036536,-0.264634,1.00
388,0.539376,1.108634,-0.265658,1.00
389,0.228483,1.001809,-0.093845,1.00
390,0.231336,1.091333,-0.133095,1.00
391,0.137168,1.033728,0.056462,1.00
392,0.042999,0.976123,0.246019,1.00
393,-0.193411,1.020943,0.290887,1.00
394,-0.157262,1.019005,0.335755,1.00
395,-0.209309,1.171165,0.073235,1.00
396,-0.277156,1.009948,0.372640,1.00
397,-0.239844,1.020573,0.391087,1.00
398,-0.195546,1.031198,0.408776,1.00
399,-0.224541,1.016297,0.628905,1.00
400,-0.126587,1.106686,0.494856,1.00
401,-0.028633,0.941096,0.095369,1.00
402,0.067662,1.007775,0.077554,1.00
403,0.163956,0.997331,0.084422,1.00
404,0.260251,0.915127,-0.203480,1.00
405,0.259137,1.012031,-0.360224,1.00
406,0.258023,1.024206,-0.265774,1.00
407,0.256909,1.032288,-0.232575,1.00
408,0.255795,1.040371,-0.199376,1.00
409,0.168585,1.014767,-0.004774,1.00
410,0.081374,0.989163,0.189827,1.00
411,-0.005837,1.000025,0.217987,1.00
412,-0.036609,0.988052,0.306060,1.00
413,-0.067381,1.060060,0.484610,1.00
414,-0.098154,1.058484,0.466917,1.00
415,-0.128926,0.987517,0.283983,1.00
416,0.000267,0.961972,0.153805,1.00
417,-0.079028,1.014248,0.114775,1.00
418,-0.158323,1.127434,0.313618,1.00
419,0.159469,1.018774,-0.041156,1.00
420,0.219211,1.056135,-0.226906,1.00
421,0.278953,1.084492,-0.374621,1.00
422,0.338695,1.095480,-0.373814,1.00
423,0.398437,1.107777,-0.315927,1.00
424,0.458179,1.120074,-0.258039,1.00
425,0.412410,1.058692,-0.323406,1.00
426,0.288328,1.111906,-0.122799,1.00
427,0.162224,1.107285,-0.028120,1.00
428,0.102286,1.169921,0.066558,1.00
429,-0.111679,1.216852,0.469708,1.00
430,-0.174753,1.191072,0.477701,1.00
431,-0.225162,1.197017,0.459478,1.00
432,-0.275571,1.202961,0.441255,1.00
433,-0.214655,1.201350,0.292616,1.00
434,-0.196211,1.257445,0.269250,1.00
435,-0.172334,1.219185,0.308588,1.00
436,-0.183796,1.219378,0.260100,1.00
437,-0.038560,1.155117,0.204977,1.00
438,0.052596,1.132139,-0.061150,1.00
439,0.143752,1.146123,-0.067484,1.00
440,0.234907,1.133102,-0.113359,1.00
441,0.303302,1.144908,-0.125970,1.00
442,0.374110,1.187265,-0.260969,1.00
443,0.337983,1.300255,-0.131593,1.00
444,0.168431,1.307093,0.014807,1.00
445,-0.001122,1.313930,0.161207,1.00
446,-0.176322,1.259752,0.307606,1.00
447,-0.048764,1.237180,0.454006,1.00
448,0.039853,1.306249,0.386493,1.00
449,0.128471,1.303355,0.007015,1.00
450,0.146589,1.275750,-0.008577,1.00
451,0.133584,1.297573,-0.198444,1.00
452,0.120579,1.257037,-0.071778,1.00
453,0.103140,1.267160,0.048117,1.00
454,-0.005478,1.283228,0.177985,1.00
455,-0.114096,1.299295,0.307852,1.00
456,-0.125801,1.365705,0.245377,1.00
457,-0.079502,1.454104,0.214615,1.00
458,-0.102238,1.483904,0.186932,1.00
459,-0.073173,1.433223,0.228511,1.00
460,-0.003064,1.446543,0.277285,1.00
461,0.110440,1.362929,0.006245,1.00
462,0.079391,1.327711,0.085194,1.00
463,0.222425,1.385180,-0.005742,1.00
464,0.230822,1.378787,-0.000762,1.00
465,0.165434,1.394801,-0.029133,1.00
466,0.100046,1.410815,-0.057504,1.00
467,-0.134579,1.383306,0.229922,1.00
468,-0.160472,1.477977,0.219654,1.00
469,-0.144441,1.354578,0.241788,1.00
470,-0.161149,1.317666,0.272946,1.00
471,-0.067451,1.350321,0.215144,1.00
472,0.015079,1.422647,0.245085,1.00
473,0.119944,1.434347,0.077014,1.00
474,0.213642,1.395208,-0.088336,1.00
475,0.307340,1.380727,-0.160790,1.00
476,0.185175,1.504424,-0.081164,1.00
477,0.151697,1.445190,-0.067535,1.00
478,0.016566,1.548560,-0.059872,1.00
479,-0.070361,1.515076,0.183506,1.00
480,-0.073842,1.553918,0.159688,1.00
481,-0.071319,1.558820,0.157983,1.00
482,-0.076379,1.480009,0.201114,1.00
483,-0.083059,1.405559,0.211921,1.00
484,0.032817,1.462080,-0.004750,1.00
485,0.148693,1.424444,0.034388,1.00
486,0.006391,1.458035,0.199218,1.00
487,-0.135910,1.478298,0.167471,1.00
488,-0.030516,1.503415,0.135723,1.00
489,0.074877,1.525479,0.051216,1.00
490,0.249210,1.423444,-0.110467,1.00
491,0.245355,1.470404,0.024343,1.00
492,0.241499,1.557304,-0.098035,1.00
493,0.171560,1.625219,-0.021940,1.00
494,0.214959,1.569419,-0.024849,1.00
495,0.043091,1.451493,-0.158849,1.00
496,-0.060184,1.610860,0.132729,1.00
497,-0.012284,1.641966,0.128656,1.00
498,0.087674,1.641727,0.074418,1.00
499,-0.021312,1.697105,0.097703,1.00
